trial_id,loss,valid_loss,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.encoder_class,config.decoder_class,config.hidden_dim,config.batch_size,config.epochs,config.lr,config.gamma,config.lambda_r,config.lambda_d,config.lambda_p
fc968_00019,4151.5205078125,1.779895544052124,49.456202030181885,True,,,30,951373cddc4146e0b4ba2c973a344fb1,2021-12-13_16-07-34,1639411654,1582.8505189418793,39250,Jasons-MacBook-Pro.local,127.0.0.1,1582.8505189418793,0,30,"19_batch_size=64,decoder_class=lstm,encoder_class=lstm,epochs=100,gamma=0.71073,hidden_dim=64,lambda_d=0.29229,lambda_p=6.9497,lambda_r=48.475,lr=0.00012801",lstm,lstm,64,64,100,0.00012801167456799907,0.7107306359891897,48.47476817568463,0.2922936976328478,6.949661199707357
fc968_00002,10.750185012817383,1.5766302347183228,50.59449529647827,True,,,45,edb19445703f40238610ef1894a2b0a8,2021-12-13_16-02-24,1639411344,2411.601862192154,904,Jasons-MacBook-Pro.local,127.0.0.1,2411.601862192154,0,45,"2_batch_size=64,decoder_class=lstm,encoder_class=lstm,epochs=100,gamma=0.79413,hidden_dim=64,lambda_d=0.066951,lambda_p=1.2773,lambda_r=0.022443,lr=0.00018228",lstm,lstm,64,64,100,0.00018228181179499484,0.7941334576784151,0.022443186616838005,0.06695124128324802,1.2773078722495939
fc968_00018,5997.39453125,1.3793491125106812,52.31129598617554,True,,,29,d2e80baeb0664078a67f0c7c10369d62,2021-12-13_15-58-38,1639411118,1571.7303941249847,36735,Jasons-MacBook-Pro.local,127.0.0.1,1571.7303941249847,0,29,"18_batch_size=64,decoder_class=lstm,encoder_class=lstm,epochs=100,gamma=0.52296,hidden_dim=64,lambda_d=0.030637,lambda_p=8.7369,lambda_r=95.085,lr=0.11524",lstm,lstm,64,64,100,0.11524003193548887,0.5229615131755015,95.08522094111844,0.03063737641883503,8.736914553139076
fc968_00005,7637.48828125,1.3690980672836304,54.277331829071045,True,,,58,3b3b613d4de0484e90962bd71fe77175,2021-12-13_15-47-55,1639410475,3181.5476961135864,901,Jasons-MacBook-Pro.local,127.0.0.1,3181.5476961135864,0,58,"5_batch_size=64,decoder_class=lstm,encoder_class=lstm,epochs=100,gamma=0.86069,hidden_dim=4,lambda_d=1.2907,lambda_p=11.112,lambda_r=79.017,lr=0.0012395",lstm,lstm,4,64,100,0.0012394775132262559,0.8606938286434054,79.01667647379092,1.2906996589859976,11.112241261010883
fc968_00004,362.045654296875,1.7609035968780518,54.202367067337036,True,,,23,1542185c24d24a9797ed96e2072f4404,2021-12-13_15-41-09,1639410069,1262.4772469997406,897,Jasons-MacBook-Pro.local,127.0.0.1,1262.4772469997406,0,23,"4_batch_size=64,decoder_class=lstm,encoder_class=lstm,epochs=100,gamma=0.54257,hidden_dim=64,lambda_d=0.029244,lambda_p=60.323,lambda_r=0.83807,lr=0.00056992",lstm,lstm,64,64,100,0.0005699223742439994,0.5425709587850358,0.8380692908123416,0.02924407761487415,60.32299577662253
fc968_00017,1764.9893798828125,2.0901291370391846,54.803638219833374,True,,,6,779e31e4bb9948cf85ab99f412223a38,2021-12-13_15-32-24,1639409544,352.5634560585022,35065,Jasons-MacBook-Pro.local,127.0.0.1,352.5634560585022,0,6,"17_batch_size=64,decoder_class=lstm,encoder_class=lstm,epochs=100,gamma=0.8068,hidden_dim=4,lambda_d=0.031935,lambda_p=0.010248,lambda_r=22.637,lr=0.1652",lstm,lstm,4,64,100,0.16519969225119271,0.8067994460229286,22.63664833141447,0.031935138716332155,0.010248196835758951
fc968_00008,5078.962890625,1.5427879095077515,54.004671812057495,True,,,31,32d22f7f16dd4c4696dcbb84b2f07edf,2021-12-13_15-26-28,1639409188,1705.3386359214783,900,Jasons-MacBook-Pro.local,127.0.0.1,1705.3386359214783,0,31,"8_batch_size=64,decoder_class=lstm,encoder_class=lstm,epochs=100,gamma=0.59942,hidden_dim=64,lambda_d=0.092789,lambda_p=0.73323,lambda_r=70.599,lr=0.0058478",lstm,lstm,64,64,100,0.005847804705205936,0.5994193376045336,70.59878138346423,0.0927888172772586,0.7332284700443542
fc968_00009,5722.13623046875,1.2278013229370117,54.57776474952698,True,,,28,d340023f54074715bd30f9d2aaf8e584,2021-12-13_15-22-11,1639408931,1548.739313840866,903,Jasons-MacBook-Pro.local,127.0.0.1,1548.739313840866,0,28,"9_batch_size=64,decoder_class=lstm,encoder_class=lstm,epochs=100,gamma=0.54145,hidden_dim=16,lambda_d=3.4516,lambda_p=0.66156,lambda_r=66.274,lr=0.021089",lstm,lstm,16,64,100,0.021089349603692895,0.5414490354773233,66.27355471648188,3.451570852796533,0.6615615063874144
fc968_00001,6663.5947265625,1.4899460077285767,54.4477219581604,True,,,8,35ff687b1c2e41c59b853aa860679598,2021-12-13_15-20-04,1639408804,464.53592324256897,899,Jasons-MacBook-Pro.local,127.0.0.1,464.53592324256897,0,8,"1_batch_size=64,decoder_class=lstm,encoder_class=lstm,epochs=100,gamma=0.56466,hidden_dim=16,lambda_d=0.077391,lambda_p=0.21076,lambda_r=77.933,lr=0.050462",lstm,lstm,16,64,100,0.05046239341602714,0.5646645717696945,77.93269812404885,0.0773908254590633,0.21076263514047452
fc968_00013,3.4478793144226074,1.3792277574539185,54.57771110534668,True,,,15,52b67b7abed54f66948bd19fc99f6704,2021-12-13_15-12-16,1639408336,835.5853757858276,898,Jasons-MacBook-Pro.local,127.0.0.1,835.5853757858276,0,15,"13_batch_size=64,decoder_class=lstm,encoder_class=lstm,epochs=100,gamma=0.74041,hidden_dim=16,lambda_d=0.034368,lambda_p=0.021351,lambda_r=0.040299,lr=0.024468",lstm,lstm,16,64,100,0.024468448367175526,0.7404087945681964,0.040299073608632295,0.03436806676659498,0.021350547510750842
