trial_id,loss,valid_loss,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.rnn_class,config.hidden_dim,config.seq_len,config.batch_size,config.epochs,config.lr,config.gamma
4b005_00000,0.06404181569814682,0.18883651494979858,105.7643461227417,True,,,9,57a4fb75009842be9b27546017aabb9a,2021-12-12_10-37-51,1639305471,970.5007510185242,66463,Jasons-MacBook-Pro.local,127.0.0.1,970.5007510185242,0,9,"0_batch_size=64,epochs=100,gamma=0.92627,hidden_dim=4,lr=0.064504,rnn_class=gru,seq_len=4",gru,4,4,64,100,0.06450354238952836,0.9262658980865666
4b005_00001,0.04789821058511734,0.19081254303455353,105.68898367881775,True,,,12,6e6a5fdfda094a6f96f30a41fb2b371d,2021-12-12_10-43-53,1639305833,1331.0546569824219,66464,Jasons-MacBook-Pro.local,127.0.0.1,1331.0546569824219,0,12,"1_batch_size=64,epochs=100,gamma=0.87115,hidden_dim=64,lr=0.0015717,rnn_class=rnn,seq_len=4",rnn,64,4,64,100,0.0015716664040801083,0.8711542459179802
4b005_00002,0.09392707049846649,0.1937738060951233,105.6649432182312,True,,,12,ec46447c5fe6459d8643259dd58224e3,2021-12-12_10-43-43,1639305823,1320.9397990703583,66457,Jasons-MacBook-Pro.local,127.0.0.1,1320.9397990703583,0,12,"2_batch_size=64,epochs=100,gamma=0.98994,hidden_dim=4,lr=0.057249,rnn_class=rnn,seq_len=4",rnn,4,4,64,100,0.057248503786604,0.9899417740209938
4b005_00003,0.05004289001226425,0.1719895303249359,106.88229489326477,True,,,9,7fd38f0527304cbe8971653f06bb1907,2021-12-12_10-38-41,1639305521,1019.3694257736206,66460,Jasons-MacBook-Pro.local,127.0.0.1,1019.3694257736206,0,9,"3_batch_size=64,epochs=100,gamma=0.54301,hidden_dim=64,lr=0.025182,rnn_class=gru,seq_len=2",gru,64,2,64,100,0.02518195540135118,0.5430078537821168
4b005_00004,1.1871906518936157,0.6227652430534363,107.22921800613403,True,,,45,9a567755101146b6a8e9ba20575d16c3,2021-12-12_11-57-46,1639310266,4793.342928886414,66462,Jasons-MacBook-Pro.local,127.0.0.1,4793.342928886414,0,45,"4_batch_size=64,epochs=100,gamma=0.7165,hidden_dim=64,lr=0.00026693,rnn_class=lstm,seq_len=4",lstm,64,4,64,100,0.00026692731363447383,0.7165035894728431
4b005_00005,0.8517665863037109,0.6782874464988708,113.48072695732117,True,,,100,c24ce5e468da4e2194e01040b21eae35,2021-12-12_13-36-58,1639316218,10695.26893377304,66461,Jasons-MacBook-Pro.local,127.0.0.1,10695.26893377304,0,100,"5_batch_size=64,epochs=100,gamma=0.88824,hidden_dim=16,lr=0.00024501,rnn_class=lstm,seq_len=4",lstm,16,4,64,100,0.0002450062787579374,0.8882439914022738
4b005_00006,0.6151387095451355,0.567415714263916,105.84349584579468,True,,,46,f1c06a9e747941b3985b8bb00606e72c,2021-12-12_12-05-34,1639310734,4910.0806720256805,66458,Jasons-MacBook-Pro.local,127.0.0.1,4910.0806720256805,0,46,"6_batch_size=64,epochs=100,gamma=0.7356,hidden_dim=64,lr=0.0002226,rnn_class=gru,seq_len=4",gru,64,4,64,100,0.00022259634597076748,0.7356017910808259
4b005_00007,0.07553401589393616,0.18964450061321259,106.31985688209534,True,,,25,ed71227505a64cf0bf0dee9ab32f826a,2021-12-12_11-28-38,1639308518,2683.651892900467,66459,Jasons-MacBook-Pro.local,127.0.0.1,2683.651892900467,0,25,"7_batch_size=64,epochs=100,gamma=0.50644,hidden_dim=4,lr=0.043413,rnn_class=rnn,seq_len=4",rnn,4,4,64,100,0.043413316117831294,0.5064424471608835
4b005_00008,0.05204848200082779,0.17416317760944366,106.25183415412903,True,,,22,5b0833ba01294caf93c389bda5fd0fdd,2021-12-12_12-08-16,1639310896,2376.6385509967804,66456,Jasons-MacBook-Pro.local,127.0.0.1,2376.6385509967804,0,22,"8_batch_size=64,epochs=100,gamma=0.87311,hidden_dim=16,lr=0.012907,rnn_class=lstm,seq_len=2",lstm,16,2,64,100,0.012906996589859988,0.8731107035854657
4b005_00009,0.33398354053497314,0.4196613132953644,106.29365992546082,True,,,54,93581b32ea6c4a989e3e450babda7a27,2021-12-12_13-34-11,1639316051,5783.1747369766235,66452,Jasons-MacBook-Pro.local,127.0.0.1,5783.1747369766235,0,54,"9_batch_size=64,epochs=100,gamma=0.75614,hidden_dim=16,lr=0.0011511,rnn_class=lstm,seq_len=4",lstm,16,4,64,100,0.0011511077998346347,0.75614199245684
4b005_00010,0.1027664765715599,0.2105531096458435,107.18211698532104,True,,,4,6fc4cdaf7b75472e826f80871c590951,2021-12-12_12-13-24,1639311204,468.06014800071716,66455,Jasons-MacBook-Pro.local,127.0.0.1,468.06014800071716,0,4,"10_batch_size=64,epochs=100,gamma=0.65787,hidden_dim=64,lr=0.031812,rnn_class=rnn,seq_len=2",rnn,64,2,64,100,0.03181168239536771,0.6578712184386091
4b005_00011,0.06841707229614258,0.17762619256973267,106.67096543312073,True,,,25,0e8535b11c4c42508b69c296bacf7dba,2021-12-12_12-53-18,1639313598,2699.6268422603607,66450,Jasons-MacBook-Pro.local,127.0.0.1,2699.6268422603607,0,25,"11_batch_size=64,epochs=100,gamma=0.91289,hidden_dim=64,lr=0.0036209,rnn_class=lstm,seq_len=4",lstm,64,4,64,100,0.003620856551678472,0.9128936300717393
4b005_00012,0.06716668605804443,0.19923590123653412,106.03027725219727,True,,,29,ab05228b35c3449aada30d4d59500ad5,2021-12-12_13-05-10,1639314310,3104.1959822177887,66454,Jasons-MacBook-Pro.local,127.0.0.1,3104.1959822177887,0,29,"12_batch_size=64,epochs=100,gamma=0.61852,hidden_dim=64,lr=0.70599,rnn_class=gru,seq_len=2",gru,64,2,64,100,0.7059878138346423,0.6185182157860662
4b005_00013,0.07129382342100143,0.1957339197397232,105.78874206542969,True,,,30,fe349a79bff9449da83c7c16796d873e,2021-12-12_13-49-24,1639316964,3364.257479906082,66449,Jasons-MacBook-Pro.local,127.0.0.1,3364.257479906082,0,30,"13_batch_size=64,epochs=100,gamma=0.57253,hidden_dim=16,lr=0.010251,rnn_class=lstm,seq_len=4",lstm,16,4,64,100,0.010250816915580574,0.5725290405858235
4b005_00014,0.40251272916793823,0.47237929701805115,108.23619294166565,True,,,25,686859a4ec71413ab122c48e92108612,2021-12-12_13-51-54,1639317114,2802.833130836487,66453,Jasons-MacBook-Pro.local,127.0.0.1,2802.833130836487,0,25,"14_batch_size=64,epochs=100,gamma=0.52964,hidden_dim=4,lr=0.0039628,rnn_class=lstm,seq_len=2",lstm,4,2,64,100,0.003962826198729964,0.5296426758444227
4b005_00015,0.24366126954555511,0.363005131483078,106.31700205802917,True,,,95,2ef237942d96455a8f06a9ed0460460d,2021-12-12_16-25-04,1639326304,10251.448516845703,66451,Jasons-MacBook-Pro.local,127.0.0.1,10251.448516845703,0,95,"15_batch_size=64,epochs=100,gamma=0.87723,hidden_dim=4,lr=0.001158,rnn_class=gru,seq_len=2",gru,4,2,64,100,0.0011580271874956675,0.8772272952702698
4b005_00016,0.0880078673362732,0.1802031397819519,106.72091913223267,True,,,17,de40b384487643169a0ad7a7a9e3a44d,2021-12-12_14-09-31,1639318171,1838.3688628673553,2593,Jasons-MacBook-Pro.local,127.0.0.1,1838.3688628673553,0,17,"16_batch_size=64,epochs=100,gamma=0.79561,hidden_dim=4,lr=0.048177,rnn_class=gru,seq_len=4",gru,4,4,64,100,0.04817654870304518,0.7956115665052446
