trial_id,loss,valid_loss,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.encoder_class,config.decoder_class,config.hidden_dim,config.batch_size,config.epochs,config.lr,config.gamma,config.lambda_r,config.lambda_d,config.lambda_p
206cc_00000,149.29598999023438,1.0663304328918457,84.55231595039368,True,,,78,3fd7525f3a614620bc1bf02b3afe4b4f,2021-12-14_01-15-39,1639444539,6537.082612037659,95736,Jasons-MacBook-Pro.local,127.0.0.1,6537.082612037659,0,78,"0_batch_size=64,decoder_class=lstm,encoder_class=lstm,epochs=100,gamma=0.84417,hidden_dim=64,lambda_d=0.051065,lambda_p=15.06,lambda_r=30.18,lr=0.00025588",lstm,lstm,64,64,100,0.0002558813794143501,0.8441739868064262,30.180165502201113,0.051064647440991505,15.05982811776367
206cc_00001,251.7623748779297,0.2836782932281494,84.51495718955994,True,,,6,e5a6c73ab1954080b89d8f783b6e0131,2021-12-13_23-35-36,1639438536,532.2828240394592,95741,Jasons-MacBook-Pro.local,127.0.0.1,532.2828240394592,0,6,"1_batch_size=64,decoder_class=lstm,encoder_class=lstm,epochs=100,gamma=0.56466,hidden_dim=16,lambda_d=0.077391,lambda_p=0.21076,lambda_r=77.933,lr=0.050462",lstm,lstm,16,64,100,0.05046239341602714,0.5646645717696945,77.93269812404885,0.0773908254590633,0.21076263514047452
206cc_00002,3.3157708644866943,1.0750527381896973,82.31214308738708,True,,,52,7fe94033766145ce9047c2a78a43421a,2021-12-14_00-39-50,1639442390,4386.673826932907,95739,Jasons-MacBook-Pro.local,127.0.0.1,4386.673826932907,0,52,"2_batch_size=64,decoder_class=lstm,encoder_class=lstm,epochs=100,gamma=0.79413,hidden_dim=64,lambda_d=0.066951,lambda_p=1.2773,lambda_r=0.022443,lr=0.00018228",lstm,lstm,64,64,100,0.00018228181179499484,0.7941334576784151,0.022443186616838005,0.06695124128324802,1.2773078722495939
206cc_00003,3.6131982803344727,0.2925797700881958,85.51235818862915,True,,,31,7e2baf91c2c84f16a9b611c3e239b58f,2021-12-14_00-10-48,1639440648,2643.7607069015503,95738,Jasons-MacBook-Pro.local,127.0.0.1,2643.7607069015503,0,31,"3_batch_size=64,decoder_class=lstm,encoder_class=lstm,epochs=100,gamma=0.60157,hidden_dim=64,lambda_d=0.024501,lambda_p=14.769,lambda_r=0.17574,lr=0.005853",lstm,lstm,64,64,100,0.0058529692250182735,0.6015702452221491,0.17573794965132522,0.024500627875793716,14.768578825102082
206cc_00004,138.4839630126953,1.066832423210144,84.0232949256897,True,,,25,f0bf9e8dd2944e86bfd4368ead8c733c,2021-12-14_00-11-13,1639440673,2135.418694972992,95740,Jasons-MacBook-Pro.local,127.0.0.1,2135.418694972992,0,25,"4_batch_size=64,decoder_class=lstm,encoder_class=lstm,epochs=100,gamma=0.54257,hidden_dim=64,lambda_d=0.029244,lambda_p=60.323,lambda_r=0.83807,lr=0.00056992",lstm,lstm,64,64,100,0.0005699223742439994,0.5425709587850358,0.8380692908123416,0.02924407761487415,60.32299577662253
206cc_00005,454.45428466796875,1.164629340171814,84.95998191833496,True,,,87,dcd8099d227945e18e6d18af4e632d1d,2021-12-14_02-12-51,1639447971,7322.210913896561,95737,Jasons-MacBook-Pro.local,127.0.0.1,7322.210913896561,0,87,"5_batch_size=64,decoder_class=lstm,encoder_class=lstm,epochs=100,gamma=0.86069,hidden_dim=4,lambda_d=1.2907,lambda_p=11.112,lambda_r=79.017,lr=0.0012395",lstm,lstm,4,64,100,0.0012394775132262559,0.8606938286434054,79.01667647379092,1.2906996589859976,11.112241261010883
206cc_00006,5.796762466430664,0.2580065131187439,85.47838807106018,True,,,17,16b7f0fd70e446418fc832bf0d312eca,2021-12-14_00-35-27,1639442127,1452.6812958717346,95734,Jasons-MacBook-Pro.local,127.0.0.1,1452.6812958717346,0,17,"6_batch_size=64,decoder_class=lstm,encoder_class=lstm,epochs=100,gamma=0.62999,hidden_dim=16,lambda_d=1.3708,lambda_p=1.232,lambda_r=1.233,lr=0.015831",lstm,lstm,16,64,100,0.015831355986749528,0.6299867095933321,1.2329771849305804,1.3707674593359398,1.2319915281113651
206cc_00007,0.819439172744751,0.23740823566913605,83.02350687980652,True,,,23,846398daac9f479fa7c074f0869772e7,2021-12-14_01-07-43,1639444063,1934.2455077171326,95735,Jasons-MacBook-Pro.local,127.0.0.1,1934.2455077171326,0,23,"7_batch_size=64,decoder_class=lstm,encoder_class=lstm,epochs=100,gamma=0.95711,hidden_dim=64,lambda_d=0.11807,lambda_p=0.49999,lambda_r=0.31144,lr=0.0019442",lstm,lstm,64,64,100,0.0019442165706171335,0.9571147001555443,0.3114372937079659,0.11807320302662642,0.4999898564145072
206cc_00008,201.6644744873047,0.6403438448905945,83.09337615966797,True,,,31,dec234a839b84736beba14bec1ff68bd,2021-12-14_01-23-29,1639445009,2616.7236309051514,95731,Jasons-MacBook-Pro.local,127.0.0.1,2616.7236309051514,0,31,"8_batch_size=64,decoder_class=lstm,encoder_class=lstm,epochs=100,gamma=0.59942,hidden_dim=64,lambda_d=0.092789,lambda_p=0.73323,lambda_r=70.599,lr=0.0058478",lstm,lstm,64,64,100,0.005847804705205936,0.5994193376045336,70.59878138346423,0.0927888172772586,0.7332284700443542
206cc_00009,264.99102783203125,0.3425440788269043,83.24425482749939,True,,,11,e110f98f66b74da49041c7af9ca87953,2021-12-14_01-23-17,1639444997,931.5973558425903,95732,Jasons-MacBook-Pro.local,127.0.0.1,931.5973558425903,0,11,"9_batch_size=64,decoder_class=lstm,encoder_class=lstm,epochs=100,gamma=0.54145,hidden_dim=16,lambda_d=3.4516,lambda_p=0.66156,lambda_r=66.274,lr=0.021089",lstm,lstm,16,64,100,0.021089349603692895,0.5414490354773233,66.27355471648188,3.451570852796533,0.6615615063874144
