trial_id,loss,valid_loss,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.rnn_class,config.hidden_dim,config.seq_len,config.batch_size,config.epochs,config.lr,config.gamma
6e215_00015,12171.7841796875,43.63378143310547,1.26768159866333,True,,,74,23ac23518d434979b7102360161df2e6,2021-12-16_12-24-09,1639657449,179.4538655281067,25804,DESKTOP-F823HCV,127.0.0.1,179.4538655281067,0,74,"15_batch_size=64,epochs=100,gamma=0.87723,hidden_dim=4,lr=0.001158,rnn_class=gru,seq_len=2",gru,4,2,64,100,0.0011580271874956675,0.8772272952702698
6e215_00014,5788.84521484375,44.86924362182617,1.4714303016662598,True,,,19,94e0d49c78914abd9aebd8f6645a1d2c,2021-12-16_12-21-07,1639657267,110.6724362373352,8512,DESKTOP-F823HCV,127.0.0.1,110.6724362373352,0,19,"14_batch_size=64,epochs=100,gamma=0.52964,hidden_dim=4,lr=0.0039628,rnn_class=lstm,seq_len=2",lstm,4,2,64,100,0.003962826198729964,0.5296426758444227
6e215_00013,2753.52197265625,21.08100700378418,1.7242534160614014,True,,,21,da04b0f7272449bd961b800b3bcdbf25,2021-12-16_12-19-15,1639657155,118.39024996757507,2888,DESKTOP-F823HCV,127.0.0.1,118.39024996757507,0,21,"13_batch_size=64,epochs=100,gamma=0.57253,hidden_dim=16,lr=0.010251,rnn_class=lstm,seq_len=4",lstm,16,4,64,100,0.010250816915580574,0.5725290405858235
6e215_00012,813.4659423828125,21.26811981201172,1.7059988975524902,True,,,4,e58a4cf2d77b4a49abec49d33f88c50e,2021-12-16_12-17-14,1639657034,89.52897596359253,11268,DESKTOP-F823HCV,127.0.0.1,89.52897596359253,0,4,"12_batch_size=64,epochs=100,gamma=0.61852,hidden_dim=64,lr=0.70599,rnn_class=gru,seq_len=2",gru,64,2,64,100,0.7059878138346423,0.6185182157860662
6e215_00011,2121.201171875,21.04843521118164,2.378312110900879,True,,,11,1253a546410e4279943065d0bcff4668,2021-12-16_12-15-43,1639656943,108.63411712646484,10812,DESKTOP-F823HCV,127.0.0.1,108.63411712646484,0,11,"11_batch_size=64,epochs=100,gamma=0.91289,hidden_dim=64,lr=0.0036209,rnn_class=lstm,seq_len=4",lstm,64,4,64,100,0.003620856551678472,0.9128936300717393
6e215_00010,1228.354736328125,22.098472595214844,1.4298715591430664,True,,,6,62fb68daf07c470e8e67b0232e8ecb7d,2021-12-16_12-13-52,1639656832,90.99699068069458,26108,DESKTOP-F823HCV,127.0.0.1,90.99699068069458,0,6,"10_batch_size=64,epochs=100,gamma=0.65787,hidden_dim=64,lr=0.031812,rnn_class=rnn,seq_len=2",rnn,64,2,64,100,0.03181168239536771,0.6578712184386091
6e215_00009,6520.3759765625,39.5288200378418,1.674492359161377,True,,,42,357b541c0fbe4c47a66b3e8f908cffd5,2021-12-16_12-12-19,1639656739,154.1544029712677,16016,DESKTOP-F823HCV,127.0.0.1,154.1544029712677,0,42,"9_batch_size=64,epochs=100,gamma=0.75614,hidden_dim=16,lr=0.0011511,rnn_class=lstm,seq_len=4",lstm,16,4,64,100,0.0011511077998346347,0.75614199245684
6e215_00008,1871.072998046875,20.591609954833984,1.5200262069702148,True,,,9,6639002eb5b442aab13f29bdbfce57a8,2021-12-16_12-09-42,1639656582,97.0613899230957,2812,DESKTOP-F823HCV,127.0.0.1,97.0613899230957,0,9,"8_batch_size=64,epochs=100,gamma=0.87311,hidden_dim=16,lr=0.012907,rnn_class=lstm,seq_len=2",lstm,16,2,64,100,0.012906996589859988,0.8731107035854657
6e215_00007,2019.9432373046875,20.82438087463379,1.4379982948303223,True,,,9,294b6216aa0646dc98d058c8c32121f1,2021-12-16_12-08-03,1639656483,94.49758005142212,7700,DESKTOP-F823HCV,127.0.0.1,94.49758005142212,0,9,"7_batch_size=64,epochs=100,gamma=0.50644,hidden_dim=4,lr=0.043413,rnn_class=rnn,seq_len=4",rnn,4,4,64,100,0.043413316117831294,0.5064424471608835
6e215_00006,6276.47705078125,39.265506744384766,2.1110010147094727,True,,,35,5fb84bb74f0b4197b78d21f525ef7c4e,2021-12-16_12-06-26,1639656386,156.1155288219452,18792,DESKTOP-F823HCV,127.0.0.1,156.1155288219452,0,35,"6_batch_size=64,epochs=100,gamma=0.7356,hidden_dim=64,lr=0.0002226,rnn_class=gru,seq_len=4",gru,64,4,64,100,0.00022259634597076748,0.7356017910808259
