trial_id,loss,valid_loss,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.encoder_class,config.decoder_class,config.hidden_dim,config.batch_size,config.epochs,config.lr,config.gamma,config.lambda_r,config.lambda_s
2897e_00014,119.38935852050781,1.8697230815887451,84.1087965965271,True,,,13,a84191b222894e398ba479af36b8b602,2021-12-10_09-12-45,1639127565,1118.4236702919006,2464,DESKTOP-F823HCV,127.0.0.1,1118.4236702919006,0,13,"14_batch_size=64,decoder_class=lstm,encoder_class=lstm,epochs=100,gamma=0.98685,hidden_dim=64,lambda_r=1.9288,lambda_s=0.042385,lr=0.0151",lstm,lstm,64,64,100,0.01509964852135306,0.9868548357703478,1.9288356890330445,0.0423850549566378
2897e_00013,73.51432800292969,2.5609939098358154,84.43520045280457,True,,,8,0be7935b16a442e69398a7e7d36187e2,2021-12-10_08-54-04,1639126444,697.02747797966,33484,DESKTOP-F823HCV,127.0.0.1,697.02747797966,0,8,"13_batch_size=64,decoder_class=lstm,encoder_class=lstm,epochs=100,gamma=0.87723,hidden_dim=4,lambda_r=0.77776,lambda_s=0.016767,lr=0.001158",lstm,lstm,4,64,100,0.0011580271874956675,0.8772272952702698,0.7777604293938158,0.016766973886502303
2897e_00012,4926.2685546875,2.214491128921509,84.38066005706787,True,,,4,f72a0cdd23b44269a084f32010233360,2021-12-10_08-42-25,1639125745,360.95695066452026,11720,DESKTOP-F823HCV,127.0.0.1,360.95695066452026,0,4,"12_batch_size=64,decoder_class=lstm,encoder_class=lstm,epochs=100,gamma=0.97233,hidden_dim=4,lambda_r=50.524,lambda_s=50.235,lr=0.00070395",lstm,lstm,4,64,100,0.0007039490946860313,0.9723281296315989,50.52440212586757,50.23486579421416
2897e_00011,3273.394775390625,2.7371885776519775,84.47666716575623,True,,,22,8e1ecb9256854e19a6b5efe360259163,2021-12-10_08-36-22,1639125382,1878.5184400081635,6160,DESKTOP-F823HCV,127.0.0.1,1878.5184400081635,0,22,"11_batch_size=64,decoder_class=lstm,encoder_class=lstm,epochs=100,gamma=0.5426,hidden_dim=4,lambda_r=36.839,lambda_s=38.845,lr=0.56428",lstm,lstm,4,64,100,0.5642761497117262,0.5426016454466213,36.83949496109296,38.84531828681629
2897e_00010,123.9249496459961,2.547267198562622,84.405690908432,True,,,32,5bdfee8f4b34428eafae13ae41b95679,2021-12-10_08-05-01,1639123501,2724.1757369041443,14092,DESKTOP-F823HCV,127.0.0.1,2724.1757369041443,0,32,"10_batch_size=64,decoder_class=lstm,encoder_class=lstm,epochs=100,gamma=0.72849,hidden_dim=16,lambda_r=1.1005,lambda_s=2.1089,lr=0.00092789",lstm,lstm,16,64,100,0.000927888172772587,0.7284918166450445,1.1004929844995501,2.1089349603692873
2897e_00009,1241.74365234375,2.2359139919281006,84.40363478660583,True,,,37,66802f4576684dcca520bcd6cd31fdab,2021-12-10_07-19-35,1639120775,3145.6717479228973,20264,DESKTOP-F823HCV,127.0.0.1,3145.6717479228973,0,37,"9_batch_size=64,decoder_class=lstm,encoder_class=lstm,epochs=100,gamma=0.7739,hidden_dim=16,lambda_r=12.96,lambda_s=4.2956,lr=0.0049999",lstm,lstm,16,64,100,0.004999898564145075,0.773901327524011,12.960486780311363,4.29560435668516
2897e_00008,3831.599853515625,1.9832149744033813,84.45584034919739,True,,,12,46f775a07aa440bfbd90273a973bb7d0,2021-12-10_06-27-07,1639117627,1035.0779762268066,15364,DESKTOP-F823HCV,127.0.0.1,1035.0779762268066,0,12,"8_batch_size=64,decoder_class=lstm,encoder_class=lstm,epochs=100,gamma=0.65787,hidden_dim=64,lambda_r=53.895,lambda_s=0.31144,lr=0.031812",lstm,lstm,64,64,100,0.03181168239536771,0.6578712184386091,53.89501196774607,0.3114372937079659
2897e_00007,126.84248352050781,2.3995859622955322,84.38394165039062,True,,,28,5190826978ce4babba87e397c80b4068,2021-12-10_06-09-50,1639116590,2387.5351383686066,32100,DESKTOP-F823HCV,127.0.0.1,2387.5351383686066,0,28,"7_batch_size=64,decoder_class=lstm,encoder_class=lstm,epochs=100,gamma=0.62999,hidden_dim=16,lambda_r=1.233,lambda_s=1.3708,lr=0.015831",lstm,lstm,16,64,100,0.015831355986749528,0.6299867095933321,1.2329771849305804,1.3707674593359398
2897e_00006,103.07875061035156,2.550581932067871,84.54558205604553,True,,,10,d51dd2cdd0a6472c955ee6d47cc3dd7f,2021-12-10_05-30-00,1639114200,866.5135128498077,31480,DESKTOP-F823HCV,127.0.0.1,866.5135128498077,0,10,"6_batch_size=64,decoder_class=lstm,encoder_class=lstm,epochs=100,gamma=0.97747,hidden_dim=64,lambda_r=1.2907,lambda_s=11.112,lr=0.087991",lstm,lstm,64,64,100,0.087991235854765,0.9774705479576069,1.2906996589859976,11.112241261010883
2897e_00005,5504.701171875,2.568821907043457,84.50030970573425,True,,,19,dbc5b3be0e844545ba5eca9c4e45dc2e,2021-12-10_05-15-31,1639113331,1628.8985080718994,7744,DESKTOP-F823HCV,127.0.0.1,1628.8985080718994,0,19,"5_batch_size=64,decoder_class=lstm,encoder_class=lstm,epochs=100,gamma=0.55709,hidden_dim=4,lambda_r=60.323,lambda_s=4.3413,lr=0.0083807",lstm,lstm,4,64,100,0.00838069290812342,0.5570896461637874,60.32299577662253,4.341331611783125
2897e_00004,1354.90380859375,2.3910164833068848,84.55821633338928,True,,,5,70fea9e19c564207aa1a4f0184ba52bb,2021-12-10_04-48-20,1639111700,444.4722077846527,7532,DESKTOP-F823HCV,127.0.0.1,444.4722077846527,0,5,"4_batch_size=64,decoder_class=lstm,encoder_class=lstm,epochs=100,gamma=0.54767,hidden_dim=16,lambda_r=14.769,lambda_s=2.5207,lr=0.0017574",lstm,lstm,16,64,100,0.0017573794965132531,0.5476742087321476,14.768578825102082,2.520699426182154
2897e_00003,492.5321960449219,2.05564546585083,84.52581691741943,True,,,41,829a3b1d0a5b4a80ac7ef7e67507fcae,2021-12-10_04-40-53,1639111253,3490.2602903842926,34656,DESKTOP-F823HCV,127.0.0.1,3490.2602903842926,0,41,"3_batch_size=64,decoder_class=lstm,encoder_class=lstm,epochs=100,gamma=0.75802,hidden_dim=64,lambda_r=0.63977,lambda_s=34.182,lr=0.00066951",lstm,lstm,64,64,100,0.0006695124128324802,0.758021209629127,0.6397718553307213,34.18170047058109
2897e_00002,2120.7509765625,21.06087303161621,84.66364097595215,True,,,35,99cbb987f3bc47feb0df47462789f5ac,2021-12-10_03-42-41,1639107761,2982.657628774643,14132,DESKTOP-F823HCV,127.0.0.1,2982.657628774643,0,35,"2_batch_size=64,decoder_class=lstm,encoder_class=lstm,epochs=100,gamma=0.69266,hidden_dim=64,lambda_r=1.7038,lambda_s=5.7849,lr=0.99891",lstm,lstm,64,64,100,0.9989061474991148,0.6926628867681404,1.7037942074251462,5.784878017503233
2897e_00001,293.45721435546875,2.2970640659332275,84.56555509567261,True,,,7,1af6cb297ea1477e819b4eff20d7bc3d,2021-12-10_02-52-56,1639104776,613.8574023246765,15168,DESKTOP-F823HCV,127.0.0.1,613.8574023246765,0,7,"1_batch_size=64,decoder_class=lstm,encoder_class=lstm,epochs=100,gamma=0.83111,hidden_dim=64,lambda_r=0.033719,lambda_s=77.933,lr=0.026795",lstm,lstm,64,64,100,0.026795076253502078,0.8311135610279012,0.033718951003533844,77.93269812404885
2897e_00000,2839.39404296875,2.43605899810791,84.58192038536072,True,,,59,b512227d17ee43018e6d2d5181b5689f,2021-12-10_02-42-40,1639104160,5016.128848791122,7392,DESKTOP-F823HCV,127.0.0.1,5016.128848791122,0,59,"0_batch_size=64,decoder_class=lstm,encoder_class=lstm,epochs=100,gamma=0.84417,hidden_dim=64,lambda_r=30.18,lambda_s=0.051065,lr=0.00025588",lstm,lstm,64,64,100,0.0002558813794143501,0.8441739868064262,30.180165502201113,0.051064647440991505
2897e_00016,1.7005484104156494,2.7786669731140137,85.74670457839966,True,,,17,5cf6ed4e60934b5c9eb8e522fec78f31,2021-12-10_10-31-38,1639132298,1474.5047175884247,21916,DESKTOP-F823HCV,127.0.0.1,1474.5047175884247,0,17,"16_batch_size=64,decoder_class=lstm,encoder_class=lstm,epochs=100,gamma=0.54035,hidden_dim=64,lambda_r=0.016066,lambda_s=0.021455,lr=0.00034368",lstm,lstm,64,64,100,0.0003436806676659501,0.5403526045208615,0.01606550508597455,0.021455430943287123
2897e_00015,216.57569885253906,2.7804040908813477,85.30036067962646,True,,,21,fac5e8cd501946d6b743099b76d8bffa,2021-12-10_11-01-57,1639134117,1817.1377320289612,516,DESKTOP-F823HCV,127.0.0.1,1817.1377320289612,0,21,"15_batch_size=64,decoder_class=lstm,encoder_class=lstm,epochs=100,gamma=0.55355,hidden_dim=4,lambda_r=2.4468,lambda_s=0.91732,lr=0.57939",lstm,lstm,4,64,100,0.5793903737038765,0.5535475811653051,2.4468448367175504,0.9173198090715481
2897e_00017,626.9308471679688,2.2631683349609375,85.78727531433105,True,,,45,5e48beea69274afeafeb739cce929719,2021-12-10_12-06-23,1639137983,3863.659446001053,34616,DESKTOP-F823HCV,127.0.0.1,3863.659446001053,0,45,"17_batch_size=64,decoder_class=lstm,encoder_class=lstm,epochs=100,gamma=0.81797,hidden_dim=16,lambda_r=4.1049,lambda_s=17.049,lr=0.0014923",lstm,lstm,16,64,100,0.001492270907842591,0.8179714946217213,4.104880056931381,17.04875964240195
2897e_00018,7.875598907470703,2.243278980255127,85.3267936706543,True,,,7,66b7625b642b4e54b14c01c7e04afa9f,2021-12-10_12-16-44,1639138604,618.5935702323914,30556,DESKTOP-F823HCV,127.0.0.1,618.5935702323914,0,7,"18_batch_size=64,decoder_class=lstm,encoder_class=lstm,epochs=100,gamma=0.98061,hidden_dim=64,lambda_r=0.093878,lambda_s=0.4852,lr=0.021114",lstm,lstm,64,64,100,0.021114118653069763,0.9806135585968919,0.09387756295436032,0.4852037659913046
2897e_00019,2080.523681640625,2.6703813076019287,84.7148814201355,True,,,28,6cfc1ecb39ff4083847af1f74b868ffe,2021-12-10_12-57-05,1639141025,2418.8511049747467,13224,DESKTOP-F823HCV,127.0.0.1,2418.8511049747467,0,28,"19_batch_size=64,decoder_class=lstm,encoder_class=lstm,epochs=100,gamma=0.62149,hidden_dim=64,lambda_r=23.493,lambda_s=0.17083,lr=0.00066245",lstm,lstm,64,64,100,0.0006624544518799249,0.6214896637546038,23.492682446852957,0.17082575328991426
